index,md5,aHash,aHash_binary,dHash,dHash_binary,pHash,pHash_binary,wHash,wHash_binary
10,006b5cb22e83c9f9b74605daebfa8a27,280371153239552,0000000000000000111111101111111011111110111111100111111000000000,2496870658911273472,0010001010100110101010101010001010100010100000001000001000000000,15366047544351510570,1101010100111111001010101101010000101010110101011101000000101010,280371153214976,0000000000000000111111101111111011111110111111100001111000000000
11,00757c30285a2fbb8939ab82478b7815,6781891846225920,0000000000011000000110000001100000111110011001100100000000000000,3509065742325420904,0011000010110010101101001011001101101000110011001001001101101000,14743768832345122718,1100110010011100011000111010001100011110011010000010011110011110,4051049682266644480,0011100000111000001110000011100011111110111101100110000000000000
12,007d63bf9eb50c6e55125c00d32abdb6,9096847111755939904,0111111000111110011111100100000001000000010000000100000001000000,16637700629599523474,1110011011100100111111001001001010000010100100101001001010010010,15314154560825169044,1101010010000110110011100110111101101001011010011001010010010100,9114861777092370528,0111111001111110011111100111111001100000011000000110000001100000
13,007f5599898ab9013672226b4c5f57e1,3206086289656790528,0010110001111110010011100111111001101110001111100011111000000000,15620905365872493264,1101100011001000100110101010101011001010110100101100001011010000,10806469251646171923,1001010111111000010010101000011101111100100011010010101100010011,900243279369354752,0000110001111110010011100111111000101110001111100011111000000000
14,0082a13e556a5a36049a45db48058624,9476129784081777591,1000001110000001111110011101010011111001101100011000001110110111,2836049134230923110,0010011101011011101010111010100101011011011000110110011101100110,12633640570973376673,1010111101010011101101010010100111010100110101001101000010100001,9440070200737203127,1000001100000001110111011101010011111001101100010000001110110111
15,008a1954162e4323591ed87c1160694a,13889101250810609664,1100000011000000000000000000000000000000000000000000000000000000,9259400833873739776,1000000010000000000000000000000000000000000000000000000000000000,16204198712478474015,1110000011100000111000001110000000011111000111110001111100011111,13889101250810609664,1100000011000000000000000000000000000000000000000000000000000000
16,009cb37a012b8b89cabab9ab5bb6f23e,6790995453253942272,0101111000111110011101100110001001101110011111100111110000000000,13471047750965690536,1011101011110010110001101000111010001100101000101000000010101000,15039026158663380434,1101000010110101010110101001110001110010111100000010110111010010,6790995315680771072,0101111000111110011101100100001001100110011111100111110000000000
17,009ed5461e3d00dffe1b706580b7fdc3,18374969610643538431,1111111100000001000000011000000110010001000000011000000111111111,5847694779473292133,0101000100100111001011110110101101100101011010010110101101100101,12548666605826724068,1010111000100101110100011100101011010101000110111101000011100100,18411139145260958207,1111111110000001100000011000000110010111100100011000000111111111
18,00a0a6071c335f78c161cb4a3dcdc435,9151287948292014592,0111111011111111111001111110011101000011010000100100001000000000,12731269940290432662,1011000010101110100011101000111010111010100111101010111010010110,10432383448973267836,1001000011000111010001010111100101000100101101110101001101111100,9151287948342329856,0111111011111111111001111110011101000110010000100000001000000000
19,00adadf595c062ebaaa05a1c23a1c13a,123679966759936,0000000000000000011100000111110001111100011111000000110000000000,3495005244959504512,0011000010000000110000001100000011000001111100000011100010000000,14079444974900135282,1100001101100100001111001001101111001011100101001100010101110010,136874106494464,0000000000000000011111000111110001111100011111110001111000000000
