index,md5,aHash,aHash_binary,dHash,dHash_binary,pHash,pHash_binary,wHash,wHash_binary
4712,a4c1ceda720e1b3f860a81674588542f,8681953262342782464,0111100001111100011111100111111000111110011111000011111000000000,13956911297899065964,1100000110110000111010001110000011101000111010001111001001101100,15042139039162394423,1101000011000000011010011100001001101011010011110110011100110111,8682516212258445312,0111100001111110011111100111111000111100001111000001100000000000
4713,a4c551ec6d3b5ab08a252231439e099f,1764987190019751936,0001100001111110011111100111111101111110001111100000000000000000,8140529936438980721,0111000011111000111110001101100011001000111000001111000001110001,10778620558857370665,1001010110010101010110100100101001101011011010100111110000101001,1764987190019751936,0001100001111110011111100111111101111110001111100000000000000000
4714,a4c77494cccb41aaa8849176bd58055e,8681950573116537864,0111100001111100011111000000110000011100000111000011110000001000,15053788255561507193,1101000011101001110011001010100011111000101100001110000101111001,15186949165933882468,1101001011000010111000011100110101110001011001110110110001100100,8970181430304586764,0111110001111100011111000111110000011100000111000011110000001100
4715,a4d62a719a2c75ce45c04f943078f5cf,6349527980181503806,0101100000011110000011100000111010000110000111110011111100111110,12879371456666528486,1011001010111100101110000001101000011100111010011110101011100110,10768333081273918179,1001010101110000110011011110001001100100011010110110001011100011,6349527980181503806,0101100000011110000011100000111010000110000111110011111100111110
4716,a4d9b160377813bfa56bc62db176f099,1026603219792100896,0000111000111111001110100011000001110000111110101111111000100000,13579732638029497548,1011110001110100111001101110001011000010100001101100010011001100,14204127791756377153,1100010100011111001100101111100001001011111001000111110001000001,882492429896971808,0000110000111111001111100011000001111000111110101111011000100000
4717,a4ec7f738fa0f8e06f84f557d11bd4ac,18010989507099878339,1111100111110011111000111000011111000111111110011110001111000011,6000912561075324694,0101001101000111100001100010111000011011000100110000011100010110,16847339249094543668,1110100111001101110001011100100100111000110001101100100100110100,17430025136879820931,1111000111100011111000111000001110000101110110011110000010000011
4718,a4f1db25195ffb7234f6602907ea1c91,3761662510302723620,0011010000110100000111000001111101111011011111110111111000100100,7234317959007226572,0110010001100101011101011101101011001010110110101100101011001100,9303969270102310859,1000000100011110010101101100000110110001100110010011111111001011,3761662510302460420,0011010000110100000111000001111101111011011110110111101000000100
4719,a4f3e00b3da3e9d9382840dfbdbef311,33273555084853022,0000000001110110001101100001111100111111001111110011111100011110,8999571282872399986,0111110011100100111001100110011001100110011010100111100001110010,10763729665435331245,1001010101100000011100110001101000011110100110110110101010101101,33220777989783326,0000000001110110000001100001111100011111001111100011111100011110
4720,a4f64e8b3e0dc43edcb7b87bad28400d,26388279066624,0000000000000000000110000000000000000000000000000000000000000000,35184372088832,0000000000000000001000000000000000000000000000000000000000000000,17261893171000296909,1110111110001110100100000110000110110000001101101100010111001101,3788012882627756348,0011010010010001101110011010010110100001101000011000000100111100
4721,a5053f53b20fb6d35df142a7cc2eb6e4,4070196463926124092,0011100001111100001111100001111001111110010111100001111000111100,15114314222715335892,1101000111000000110101001011010011011100100101001111010011010100,10469580473414462853,1001000101001011011010111111100001101001001111000010110110000101,16956799294774800,0000000000111100001111100001111001111110011111100001111000010000
4722,a50c5ba8a92c7b199ac9e20a815d9e69,33238370712764186,0000000001110110000101100001111100111111001111110011111100011010,7549412202859095650,0110100011000100111001100110011001100110011010100110011001100010,10696166329412172589,1001010001110000011010101001101100011011000110110011101100101101,32095016058764830,0000000001110010000001100011111100111111001111100011111000011110
4723,a50cb79d7464945cf27b4fc1c11805f9,3620892427019254272,0011001000111111111111100111101001100010011000100111101000000000,7414850037278496496,0110011011100110110101101101001011000110110001101101011011110000,14244338232216484546,1100010110101110000011100010011100000111110001110111101011000010,3620892427019254272,0011001000111111111111100111101001100010011000100111101000000000
4724,a50da199db97abb2dfd6fd62b5a00f02,16956935655800320,0000000000111100001111100011111000111110001111100011111000000000,15118817959651628228,1101000111010000110101001101010011010100110101001101010011000100,9749002560898088116,1000011101001011011010100010110100111100101101000011110010110100,35041977787366912,0000000001111100011111100111111000111110001111100011111000000000
4725,a50e2d3419a9de9be87eb04f52f2245f,1188901370127875584,0001000001111111110100110111111100111111011100100111111000000000,16253830690100409448,1110000110010001001101001110010101101010110001101111010001101000,9564056011606879519,1000010010111010010110100100010100011111110001000110110100011111,1184327367379811840,0001000001101111100100110111011100111110011100100111111000000000
4726,a519b355e903fc1d615db11f1de44916,9114854870078078464,0111111001111110011110000011011000110110001111100011111000000000,16497480128241921228,1110010011110010110100101100010011101100111011001110110011001100,9638223916737588146,1000010111000001110110011001011000110110110100010110101110110010,9114854784178732544,0111111001111110011110000010001000110110001111100011111000000000
4727,a52a9351197a427e0f82b859974ec447,280371153239552,0000000000000000111111101111111011111110111111100111111000000000,48555123370139649,0000000010101100100000001010000010100000100000001010000000000001,15005760674829751744,1101000000111111001010111101010001101111110000001101010111000000,139081753198080,0000000000000000011111100111111001111110011111100111111000000000
4728,a52e9e8a3803a304cd221314d9bec84c,9114852722798394880,0111111001111110011101100100001001000010011001100111111000000000,17639619760218762420,1111010011001100100001001011011010010100110011001110110010110100,15331532907966441148,1101010011000100100010111111001100101001100011010010011010111100,9114852722798427648,0111111001111110011101100100001001000010011001101111111000000000
